Saison,Peche,IE,IT,FPA,FPC,FPP,FO,FME,FM,FMT,Construction ,TE,AHR,AFA,AI,RDS,ESH,INS,PIB,PIBNA,SP,SS,ST
14_S1,914,5338,37778,9821,3892,1511,246,915,699,2482,14440,7997,8929,11010,18230,9457,19115,21156,245678,222140,24452,63258,136812
14_S2,1213,5510,38592,10266,4029,1537,252,1097,708,2306,14499,8407,9529,11075,18250,9787,19208,22161,250699,226022,25890,64683,137965
14_S3,1250,5574,39296,10292,4382,1551,261,1086,712,2589,14819,8507,8456,11123,18189,10088,19298,23232,251966,227270,25946,65845,136944
14_S4,1309,5706,38010,10213,4527,1418,262,970,706,2216,14647,8928,8641,11187,18118,10007,19384,24369,253111,227026,27394,64722,136626
15_S1,1383,6084,39434,10062,5184,1480,263,1013,690,2343,14562,9200,8937,11112,18124,10634,19467,26809,264545,235312,30616,67204,139916
15_S2,1437,6351,40441,10705,5122,1431,268,987,733,2601,14750,9465,9180,11185,18209,10880,19547,27726,268243,238480,31201,68788,140529
15_S3,1413,6238,41001,10696,5317,1434,266,1195,746,2885,15220,9598,8808,11256,18307,11027,19623,28431,271721,240500,32634,70077,140578
15_S4,1616,5870,40670,10923,5159,1381,264,992,728,2771,15751,9820,8919,11310,18460,11112,19696,28923,273609,242500,32726,70174,141787
16_S1,1734,5317,40276,10584,4484,1405,257,1066,780,2884,16131,9860,9133,11498,18788,11806,19754,28613,269487,243921,27300,70044,143530
16_S2,1905,5033,39604,10716,3927,1447,256,997,774,2930,16264,9465,9112,11556,18951,11651,19825,28879,270444,244425,27924,69368,144273
16_S3,1734,5012,40603,11156,4231,1413,256,935,774,3391,16234,10027,9805,11633,19181,11886,19898,29130,276116,248966,28883,70788,147315
16_S4,2047,4809,41022,11516,4365,1391,251,967,802,3068,16189,9979,10059,11739,19400,11987,19972,29365,278202,251408,28841,70859,149137
17_S1,2024,5119,41587,12430,4282,1374,267,1076,831,3184,16717,10023,10589,11789,19515,12432,19950,29184,284507,253878,32653,72197,150473
17_S2,1821,5328,42108,12369,4329,1414,284,1022,773,3268,16834,9717,11109,11929,19705,12642,20066,29470,286776,256087,32510,73144,151652
17_S3,1996,5164,41852,12461,4314,1455,283,1002,754,3280,17107,9967,11504,12124,19838,12666,20223,29829,287622,257985,31633,73157,153002
17_S4,2079,5198,42125,12199,4342,1502,283,1240,743,3504,16852,9801,11614,12352,20098,12657,20421,30261,289990,260646,31424,73383,154922
18_S1,2086,5130,43428,12434,5103,1495,285,1132,845,3699,16917,9621,11735,12881,20271,13411,20818,30460,295089,263451,33724,74826,156079
18_S2,2136,5336,43839,12420,5539,1464,285,1335,755,3782,16982,9899,12000,13077,20540,13545,21033,30900,298050,266379,33807,75197,158145
18_S3,2036,5173,44959,12789,6022,1484,287,1137,755,3925,16564,9641,12202,13170,20796,13627,21225,31244,300583,268417,34202,75845,159293
18_S4,1785,5150,45511,12762,6026,1528,292,1425,804,4161,15675,9563,12277,13176,21011,13825,21395,31489,301515,269906,33394,75826,160806
19_S1,1601,5292,44857,12222,5417,1452,294,1330,781,4242,16054,10397,12527,13112,21374,14477,21540,32297,304603,274221,31983,77053,163269
19_S2,1582,5042,46395,12661,5520,1547,277,1365,804,4277,16870,11689,12679,13052,21536,14823,21664,32375,314660,279901,36341,79104,166841
19_S3,1756,5046,45731,12755,5193,1589,278,1352,803,4210,17126,10766,12768,13001,21663,14853,21766,32366,311256,279228,33783,78589,166517
19_S4,1638,5012,46058,12576,5141,1577,290,1642,768,4344,16637,10245,12644,12929,21771,14959,21846,32271,309317,278636,32320,78312,166414
20_S1,1643,4007,45985,13101,5242,1668,280,1580,772,4113,16761,10263,8952,12969,21521,14147,21774,31114,302617,272673,31587,78036,161880
20_S2,1194,4395,37974,12645,5592,1451,275,779,422,2417,15004,6504,3525,12963,21596,10622,21861,23965,264425,234101,31518,67921,141022
20_S3,1736,4005,44998,12284,6333,1592,258,1432,757,4173,15545,8065,5599,12990,21668,12899,21978,29466,286309,260039,28006,75911,152926
20_S4,1229,4252,45958,12204,7528,1678,266,1468,771,3946,16919,8922,5340,13034,21814,13955,22125,31767,299067,268513,31784,78278,157238
21_S1,2257,5154,47200,12364,8921,1655,245,1638,722,3630,17229,8631,6346,13188,22217,14188,22328,32995,313782,276862,39177,80663,160948
21_S2,2322,5068,47096,11905,10622,1632,269,1555,715,3427,16799,9220,6477,13275,22506,12691,22523,29476,308178,270348,40153,80109,158441
21_S3,2250,5580,49817,11876,13235,1665,246,1707,714,3213,18585,10757,9537,13435,22733,14424,22737,34234,325838,291019,37069,84983,169552
21_S4,2457,5947,52912,11947,16211,1618,225,1327,638,3192,19421,10308,8024,13638,22886,15690,22970,35927,336355,300653,38160,89165,173103
